Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	15:46 0/6/2021	122
Jim	15:46 0/6/2021	119
Tom	15:46 0/6/2021	131
TomH	15:46 0/6/2021	123
Lana	15:46 0/6/2021	116
Mike	23:35 1/3/2021	149
Jim	23:35 1/3/2021	134
Mike	10:31 1/4/2021	84
Jim	10:31 1/4/2021	119
Lana	10:31 1/4/2021	127
Mike	10:39 1/4/2021	169
TomH	10:39 1/4/2021	132
Mike	14:43 1/6/2021	124
Jim	14:43 1/6/2021	144
TomH	14:43 1/6/2021	129
Mike	15:18 1/6/2021	116
TomH	15:18 1/6/2021	91
Jim	0:27 1/4/2021	102
Mike	0:27 1/4/2021	118
TomH	0:27 1/4/2021	132
Lana	0:27 1/4/2021	119
Mike	0:32 1/4/2021	108
Jim	0:32 1/4/2021	175
Tom	0:32 1/4/2021	158
Lana	0:33 1/4/2021	187
utkarsh	0:47 1/4/2021	101
TomH	0:47 1/4/2021	138
Lana	0:47 1/4/2021	96
Tom	0:47 1/4/2021	141
Mike	0:47 1/4/2021	118
Jim	0:47 1/4/2021	175
Mike	1:8 1/4/2021	161
Tom	1:8 1/4/2021	114
Jim	1:8 1/4/2021	118
utkarsh	1:8 1/4/2021	143
